slug;rubrik;prio;quelle;typ;cluster_vorschlag;rubrik_final;slug_final
billing;Billing;3;omr;software;Finanzen & Buchhaltung;Abrechnung;abrechnung
bim-software;BIM Software;1;capterra;software;Bau & Handwerk;BIM Software;bim-software
blockchain-plattformen;Blockchain-Plattformen;2;capterra;software;IT, Security & Infrastruktur;Blockchain-Plattformen;blockchain-plattformen
blog-software;Blog-Software;1;capterra;software;IT, Security & Infrastruktur;Blog-Software;blog-software
board-management-software;Board-Management-Software;1;capterra;software;Projekte & Zusammenarbeit;Board-Management-Software;board-management-software
bot-erkennung-und-schadensbegrenzung;Bot-Erkennung und Schadensbegrenzung;2;capterra;software;Weitere Software;Bot-Erkennung und Schadensbegrenzung;bot-erkennung-und-schadensbegrenzung
bpm-tools;BPM-Tools;2;capterra;software;Projekte & Zusammenarbeit;BPM-Tools;bpm-tools
brand-management-software;Brand Management Software;1;beide;software;Marketing & SEO;Brand Management Software;brand-management-software
brand-protection-software;Brand Protection Software;1;capterra;software;Marketing & SEO;Brand Protection Software;brand-protection-software
brausoftware;Brausoftware;1;capterra;software;Industrie, Agrar & Energie;Brausoftware;brausoftware
browser;Browser;3;capterra;software;IT, Security & Infrastruktur;Browser;browser
buchfuehrungsprogramme;Buchführungsprogramme;2;capterra;software;Finanzen & Buchhaltung;Buchführungsprogramme;buchfuehrungsprogramme
buchhaltung-fuer-vereine;Buchhaltung Fuer Vereine;3;omr;software;Non-Profit, Kirche & Verein;Buchhaltung für Vereine;buchhaltung-fuer-vereine
buchhaltungssoftware;Buchhaltungssoftware;1;beide;software;Finanzen & Buchhaltung;Buchhaltungssoftware;buchhaltungssoftware
buchhaltungssoftware-fuer-autohaeuser;Buchhaltungssoftware für Autohäuser;1;capterra;software;Finanzen & Buchhaltung;Buchhaltungssoftware für Autohäuser;buchhaltungssoftware-fuer-autohaeuser
buchhaltungssoftware-fuer-gemeinnuetzige-organisationen;Buchhaltungssoftware für gemeinnützige Organisationen;1;capterra;software;Non-Profit, Kirche & Verein;Buchhaltungssoftware für gemeinnützige Organisationen;buchhaltungssoftware-fuer-gemeinnuetzige-organisationen
buchhaltungssoftware-fuer-gesundheitswesen;Buchhaltungssoftware für Gesundheitswesen;1;capterra;software;Gesundheit & Pflege;Buchhaltungssoftware für Gesundheitswesen;buchhaltungssoftware-fuer-gesundheitswesen
buchhaltungssoftware-fuer-immobilien;Buchhaltungssoftware für Immobilien;1;capterra;software;Immobilien;Buchhaltungssoftware für Immobilien;buchhaltungssoftware-fuer-immobilien
buchhaltungssoftware-fuer-immobilienverwaltung;Buchhaltungssoftware für Immobilienverwaltung;1;capterra;software;Immobilien;Buchhaltungssoftware für Immobilienverwaltung;buchhaltungssoftware-fuer-immobilienverwaltung
buchhaltungssoftware-fuer-ingenieure-und-techniker;Buchhaltungssoftware für Ingenieure und Techniker;1;capterra;software;Finanzen & Buchhaltung;Buchhaltungssoftware für Ingenieure und Techniker;buchhaltungssoftware-fuer-ingenieure-und-techniker
buchhaltungssoftware-fuer-juristen;Buchhaltungssoftware für Juristen;1;capterra;software;Finanzen & Buchhaltung;Buchhaltungssoftware für Juristen;buchhaltungssoftware-fuer-juristen
buchhaltungssoftware-fuer-projekte;Buchhaltungssoftware für Projekte;1;capterra;software;Finanzen & Buchhaltung;Buchhaltungssoftware für Projekte;buchhaltungssoftware-fuer-projekte
buchhaltungssoftware-fuer-schulen;Buchhaltungssoftware für Schulen;1;capterra;software;Bildung & Bildungsträger;Buchhaltungssoftware für Schulen;buchhaltungssoftware-fuer-schulen
buchhaltungssoftware-fuer-speditionen;Buchhaltungssoftware für Speditionen;1;capterra;software;Finanzen & Buchhaltung;Buchhaltungssoftware für Speditionen;buchhaltungssoftware-fuer-speditionen
buchhaltungssoftware-fuer-vertrieb;Buchhaltungssoftware für Vertrieb;1;capterra;software;Finanzen & Buchhaltung;Buchhaltungssoftware für Vertrieb;buchhaltungssoftware-fuer-vertrieb
buchungssysteme;Buchungssysteme;2;capterra;software;Weitere Software;Buchungssysteme;buchungssysteme
budgeting-and-forecasting;Budgeting And Forecasting;3;omr;software;Finanzen & Buchhaltung;Budgetierung und Forecast;budgetierung-und-forecast
budgeting-software;Budgeting Software;1;capterra;software;Finanzen & Buchhaltung;Budgeting Software;budgeting-software
bugtracker;Bugtracker;2;capterra;software;IT, Security & Infrastruktur;Bugtracker;bugtracker
business-account;Business Account;3;omr;software;Finanzen & Buchhaltung;Geschäftskonten;geschaeftskonten
business-intelligence-platforms;Business Intelligence Platforms;2;omr;software;Daten & Analytics;Business-Intelligence-Plattformen;business-intelligence-plattformen
businessplan-software;Businessplan Software;1;beide;software;Finanzen & Buchhaltung;Businessplan Software;businessplan-software
cad-programme;CAD Programme;2;capterra;software;Design & Kreativ;CAD Programme;cad-programme
cafm-software;CAFM Software;1;beide;software;Produktion & Supply Chain;CAFM Software;cafm-software
call-accounting-software;Call Accounting Software;1;capterra;software;Finanzen & Buchhaltung;Call Accounting Software;call-accounting-software
call-center-infrastructure-cci;Call Center Infrastructure Cci;3;omr;software;Kommunikation & Support;Callcenter-Infrastruktur;callcenter-infrastruktur
call-center-software;Call-Center Software;1;capterra;software;Kommunikation & Support;Call-Center Software;call-center-software
call-recorder;Call Recorder;3;capterra;software;Kommunikation & Support;Call Recorder;call-recorder
call-tracking-software;Call Tracking Software;1;capterra;software;Kommunikation & Support;Call Tracking Software;call-tracking-software
campingplatz-software;Campingplatz Software;1;capterra;software;Gastro, Hotel & Freizeit;Campingplatz Software;campingplatz-software
cannabis-social-club;Cannabis Social Club;3;omr;software;Non-Profit, Kirche & Verein;Cannabis-Social-Club-Verwaltung;cannabis-social-club-verwaltung
capa-systeme;CAPA-Systeme;2;capterra;software;Produktion & Supply Chain;CAPA-Systeme;capa-systeme
carbon-accounting;Carbon Accounting;3;omr;software;Finanzen & Buchhaltung;CO2-Bilanzierung;co2-bilanzierung
casb-tools;CASB-Tools;2;capterra;software;IT, Security & Infrastruktur;CASB-Tools;casb-tools
case-management-software-fuer-kanzleien;Case Management Software für Kanzleien;1;capterra;software;Recht & Kanzlei;Case Management Software für Kanzleien;case-management-software-fuer-kanzleien
cash-flow-management;Cash Flow Management;2;omr;software;Finanzen & Buchhaltung;Liquiditätsmanagement;liquiditaetsmanagement
catering-software;Catering Software;1;capterra;software;Gastro, Hotel & Freizeit;Catering Software;catering-software
ccm-software;CCM-Software;1;beide;software;Weitere Software;CCM-Software;ccm-software
cdp-software;CDP-Software;1;capterra;software;Weitere Software;CDP-Software;cdp-software
cem-software;CEM Software;1;capterra;software;Weitere Software;CEM Software;cem-software
cems-software;CEMS-Software;1;capterra;software;Weitere Software;CEMS-Software;cems-software
change-management-software;Change-Management-Software;1;capterra;software;Weitere Software;Change-Management-Software;change-management-software
channel-management-software;Channel Management Software;1;capterra;software;E-Commerce & Handel;Channel Management Software;channel-management-software
channel-manager;Channel Manager;2;capterra;software;E-Commerce & Handel;Channel Manager;channel-manager
chatbot-software;Chatbot-Software;1;beide;software;Kommunikation & Support;Chatbot-Software;chatbot-software
check-in-software;Check-In-Software;1;capterra;software;Weitere Software;Check-In-Software;check-in-software
chemie-software;Chemie Software;1;capterra;software;Industrie, Agrar & Energie;Chemie Software;chemie-software
chiropractic-software;Chiropractic-Software;1;capterra;software;Gesundheit & Pflege;Chiropractic-Software;chiropractic-software
ciam-software;CIAM Software;1;capterra;software;IT, Security & Infrastruktur;CIAM Software;ciam-software
clinical-trial-software;Clinical Trial Software;1;capterra;software;Gesundheit & Pflege;Clinical Trial Software;clinical-trial-software
cloud-content-collaboration;Cloud Content Collaboration;3;omr;software;Marketing & SEO;Cloud-Zusammenarbeit;cloud-zusammenarbeit
cloud-data-security;Cloud Data Security;3;omr;software;Daten & Analytics;Cloud-Datensicherheit;cloud-datensicherheit
cloud-erp;Cloud ERP;2;omr;software;IT, Security & Infrastruktur;Cloud-ERP;cloud-erp
cloud-management-software;Cloud Management Software;1;capterra;software;IT, Security & Infrastruktur;Cloud Management Software;cloud-management-software
cloud-pbx-telefonanlagen;Cloud PBX Telefonanlagen;3;capterra;software;Kommunikation & Support;Cloud PBX Telefonanlagen;cloud-pbx-telefonanlagen
cloud-security-software;Cloud Security Software;1;beide;software;IT, Security & Infrastruktur;Cloud Security Software;cloud-security-software
cloud-speicher;Cloud-Speicher;3;capterra;software;IT, Security & Infrastruktur;Cloud-Speicher;cloud-speicher
cloud-web-hosting;Cloud Web Hosting;3;omr;software;IT, Security & Infrastruktur;Cloud-Hosting;cloud-hosting
club-management-software;Club Management Software;1;capterra;software;Gastro, Hotel & Freizeit;Club Management Software;club-management-software
cma-software-fuer-immobilien;CMA Software für Immobilien;1;capterra;software;Immobilien;CMA Software für Immobilien;cma-software-fuer-immobilien
cmms-software;CMMS Software;1;beide;software;Produktion & Supply Chain;CMMS Software;cmms-software
cms-fuer-den-vertrieb;CMS für den Vertrieb;2;capterra;software;Vertrieb & CRM;CMS für den Vertrieb;cms-fuer-den-vertrieb
coaching-tools;Coaching-Tools;2;capterra;software;Lernen & Events;Coaching-Tools;coaching-tools
collaboration-tools;Collaboration Tools;2;beide;software;Projekte & Zusammenarbeit;Collaboration Tools;collaboration-tools
community-management;Community Management;2;omr;software;Weitere Software;Community-Management;community-management
community-software;Community Software;1;capterra;software;Website & Content;Community Software;community-software
competitive-intelligence-tools;Competitive Intelligence Tools;2;capterra;software;Marketing & SEO;Competitive Intelligence Tools;competitive-intelligence-tools
compliance-software;Compliance Software;1;capterra;software;IT, Security & Infrastruktur;Compliance Software;compliance-software
computer-aided-manufacturing-cam;Computer-Aided Manufacturing (CAM);3;capterra;software;Weitere Software;Computer-Aided Manufacturing (CAM);computer-aided-manufacturing-cam
computer-reparatur-software;Computer Reparatur Software;1;capterra;software;Weitere Software;Computer Reparatur Software;computer-reparatur-software
computerreservierungssysteme;Computerreservierungssysteme;2;capterra;software;Weitere Software;Computerreservierungssysteme;computerreservierungssysteme
